checkout_id,member_id,book_id,checkout_date,return_date,title,author,genre,pages,publication_year,publisher,first_name,last_name,grade,neighborhood,membership_status,join_date
9263,1047,517,2024-10-21,2024-11-07,Shadows on the Corniche,Hani Nagati,Mystery,338,2015.0,Delta House,Sara,Rashad,,Heliopolis,Inactive,2024-06-25
9340,1072,513,2025-08-24,2025-09-01,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Seif,Zaki,9.0,Zamalek,Active,2025-10-21
9231,1053,523,2024-02-04,2024-02-16,Footsteps in the Dust,Laila Shokry,Historical,276,2018.0,Oasis Books,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03
9129,1032,513,2025-06-21,2025-06-29,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Nada,Zaki,7.0,Nasr City,Active,2025-10-19
9370,1079,511,2025-11-11,2025-12-03,Winter in Alexandria,Farida Anwar,Historical,117,2016.0,Nile Press,Rana,Osman,8.0,Shubra,Active,2024-10-27
9082,1010,528,2025-11-11,2025-11-18,The Glass Beehive,Mona Kholoussy,Nature,114,2010.0,Delta House,Nour,Nabil,6.0,Maadi ,Active,2024-05-15
9238,1057,513,2024-03-28,2024-04-08,Circuits for Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Ahmed,Fahmy,8.0,Heliopolis,Active,2024-01-12
9012,1010,501,2025-02-17,,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Nour,Nabil,6.0,Maadi ,Active,2024-05-15
9127,1024,506,2025-06-13,,The Paper Boat Club,Aya Hafez,Friendship,183,,Nile Press,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04
9020,1016,506,2024-04-15,2024-05-04,The Paper Boat Club,Aya Hafez,Friendship,183,,Nile Press,Dina,Rashad,8.0,Maadi,Active,2023-04-24
9208,1044,525,2024-07-10,2024-08-01,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19
9319,1065,515,2025-02-10,2025-02-21,Songs of the Oasis,Hoda Bakry,Poetry,316,2022.0,Cairo Young Readers,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12
9097,1018,501,2025-10-05,2025-10-14,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28
9137,1041,519,2025-07-27,2025-08-05,Kites Over Cairo,Jasmine Wahdan,Friendship,157,2014.0,Nile Press,Nada,Rashad,7.0,Nasr City,Active,2024-04-02
9157,1032,525,2024-03-04,2024-04-03,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,Nada,Zaki,7.0,Nasr City,Active,2025-10-19
9383,1070,501,2024-07-11,2024-07-31,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Ahmed,Zaki,9.0,Zamalek,Active,2025-07-22
9131,1034,505,2025-12-16,2025-12-25,Letters to the Nile,Aya Hafez,Historical,216,2024.0,Oasis Books,Aya,Wahba,9.0,Nasr City,Active,2025-01-22
