checkout_id,member_id,book_id,checkout_date,return_date,title,author,genre,pages,publication_year,publisher,first_name,last_name,grade,neighborhood,membership_status,join_date
9263.0,1047,517,2024-10-21,2024-11-07,Shadows On The Corniche,Hani Nagati,Mystery,338,2015.0,Delta House,Sara,Rashad,9.0,Heliopolis,Inactive,2024-06-25
9340.0,1072,513,2025-08-24,2025-09-01,Circuits For Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Seif,Zaki,9.0,Zamalek,Active,2025-10-21
9231.0,1053,523,2024-02-04,2024-02-16,Footsteps In The Dust,Laila Shokry,Historical,276,2018.0,Oasis Books,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03
9129.0,1032,513,2025-06-21,2025-06-29,Circuits For Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Nada,Zaki,7.0,Nasr City,Active,2025-10-19
9370.0,1079,511,2025-11-11,2025-12-03,Winter In Alexandria,Farida Anwar,Historical,117,2016.0,Nile Press,Rana,Osman,8.0,Shubra,Active,2024-10-27
9082.0,1010,528,2025-11-11,2025-11-18,The Glass Beehive,Mona Kholoussy,Nature,114,2010.0,Delta House,Nour,Nabil,6.0,Maadi,Active,2024-05-15
9238.0,1057,513,2024-03-28,2024-04-08,Circuits For Beginners,Galal Mounir,Science,294,2021.0,Oasis Books,Ahmed,Fahmy,8.0,Heliopolis,Active,2024-01-12
9012.0,1010,501,2025-02-17,Not Returned Yet,The Silver Kite,Amina Darwish,Adventure,128,2017.0,Nile Press,Nour,Nabil,6.0,Maadi,Active,2024-05-15
9127.0,1024,506,2025-06-13,Not Returned Yet,The Paper Boat Club,Aya Hafez,Friendship,183,2024.0,Nile Press,Youssef,Hegazy,8.0,Nasr City,Inactive,2024-01-04
9020.0,1016,506,2024-04-15,2024-05-04,The Paper Boat Club,Aya Hafez,Friendship,183,2024.0,Nile Press,Dina,Rashad,8.0,Maadi,Active,2023-04-24
9208.0,1044,525,2024-07-10,2024-08-01,Storms And Sailboats,Mahmoud Rafei,Adventure,297,2015.0,Oasis Books,Sherif,Saleh,7.0,Heliopolis,Active,2024-02-19
9319.0,1065,515,2025-02-10,2025-02-21,Songs Of The Oasis,Hoda Bakry,Poetry,316,2022.0,Cairo Young Readers,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12
